City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
283,Bambanglipuro,ID,-7.95,110.2833,75.13,89,10,3.24,clear sky
284,Svetlogorsk,BY,52.6333,29.7333,66.25,64,15,3.91,few clouds
285,Merauke,ID,-8.4667,140.3333,75.54,88,93,11.3,overcast clouds
286,Manzhouli,CN,49.6,117.4333,59.32,86,100,4.45,light rain
287,Durban,ZA,-29.8579,31.0292,67.01,67,0,1.01,clear sky
288,Svetlyy,RU,54.675,20.1347,62.65,83,2,2.77,clear sky
289,Kulhudhuffushi,MV,6.6221,73.07,82.15,69,99,17.2,overcast clouds
290,Asfi,MA,32.2994,-9.2372,68.18,76,0,18.39,clear sky
291,Buala,SB,-8.145,159.5921,78.21,81,37,2.71,light rain
292,Mareeba,AU,-17.0,145.4333,65.12,93,23,2.66,few clouds
293,Tabas,IR,33.5959,56.9244,90.9,13,0,12.1,clear sky
294,Mandal,IN,25.45,74.5667,80.71,74,64,8.32,moderate rain
295,Halifax,CA,44.6453,-63.5724,77.0,77,100,1.99,overcast clouds
296,Mbanza-Ngungu,CD,-5.25,14.8667,71.42,54,40,4.43,scattered clouds
297,Bethel,US,41.3712,-73.414,83.75,75,99,4.25,light rain
298,Beloha,MG,-25.1667,45.05,62.64,87,0,5.7,clear sky
299,Jejuri,IN,18.2833,74.1667,73.06,86,82,8.34,broken clouds
300,Nantucket,US,41.2835,-70.0995,83.25,75,86,6.82,overcast clouds
301,Adre,TD,13.4667,22.2,68.74,93,40,5.41,scattered clouds
302,Theodoriana,GR,39.4356,21.21,71.28,49,0,2.68,clear sky
303,Provideniya,RU,64.3833,-173.3,46.51,76,90,6.71,overcast clouds
304,Yenagoa,NG,4.9247,6.2642,72.97,93,100,5.35,overcast clouds
305,Northam,GB,51.0333,-4.2167,62.29,92,100,11.95,overcast clouds
306,Paita,PE,-5.0892,-81.1144,75.76,68,6,19.13,clear sky
307,Krasnoselkup,RU,65.7,82.4667,56.68,64,19,9.51,few clouds
308,Mednogorsk,RU,51.4128,57.595,60.98,48,0,8.75,clear sky
309,Loreto,MX,22.2667,-101.9667,78.3,38,49,8.32,scattered clouds
310,Karratha,AU,-20.7377,116.8463,66.92,60,52,4.34,broken clouds
311,Turmalina,BR,-17.2856,-42.73,64.87,73,100,2.95,overcast clouds
312,Palu,ID,-0.8917,119.8707,74.34,94,100,3.18,overcast clouds
313,Vanimo,PG,-2.6741,141.3028,76.15,89,97,5.48,overcast clouds
314,Fougamou,GA,-1.2154,10.5838,77.97,72,100,3.04,overcast clouds
315,Indianola,US,41.3581,-93.5574,85.66,72,13,11.16,few clouds
316,Lata,PT,40.1629,-8.3327,69.04,78,0,4.09,clear sky
317,Turayf,SA,31.6725,38.6637,84.45,34,0,9.22,clear sky
318,Loja,EC,-3.9931,-79.2042,76.41,30,75,12.66,broken clouds
319,Dongli,CN,23.5656,116.8194,82.38,89,75,4.47,broken clouds
320,Kirakira,SB,-10.4544,161.9205,77.52,84,54,6.29,broken clouds
321,Nador,MA,35.174,-2.9287,77.07,68,0,4.61,clear sky
322,Ust-Kuyga,RU,70.0167,135.6,66.4,47,44,4.34,scattered clouds
323,Salalah,OM,17.0151,54.0924,77.22,86,97,6.82,overcast clouds
324,Ambulu,ID,-8.345,113.6058,74.08,91,35,3.8,scattered clouds
325,Mayo,US,38.8876,-76.5119,93.38,64,0,5.01,clear sky
326,Riyadh,SA,24.6877,46.7219,100.54,13,27,14.72,scattered clouds
327,Progreso,MX,21.2833,-89.6667,87.06,62,55,17.09,broken clouds
328,Witu,KE,-2.3889,40.4382,73.81,84,29,12.5,scattered clouds
329,Coroata,BR,-4.13,-44.1242,93.54,30,7,3.22,clear sky
330,Ormond Beach,US,29.2858,-81.0559,95.09,62,75,5.99,broken clouds
331,Mildura,AU,-34.2,142.15,39.16,100,1,0.0,clear sky
332,Clyde River,CA,70.4692,-68.5914,52.03,66,75,12.66,broken clouds
333,Santa Flavia,IT,38.085,13.5351,86.59,45,18,11.01,few clouds
334,Alta Floresta,BR,-9.8756,-56.0861,96.62,26,0,3.44,clear sky
335,Wamba,NG,8.9333,8.6,71.2,96,84,2.39,moderate rain
336,Maldonado,UY,-34.6667,-54.9167,51.19,88,100,16.67,overcast clouds
337,Berdigestyakh,RU,62.0989,126.6992,56.5,72,50,5.55,scattered clouds
338,Barstow,US,34.8986,-117.0228,103.64,8,0,13.53,clear sky
339,Semme,FR,46.1963,1.5007,61.21,81,62,2.77,broken clouds
340,Yilan,TW,24.757,121.753,83.08,93,74,1.28,broken clouds
341,Istok,XK,42.7808,20.4875,86.92,40,7,6.31,clear sky
342,Skibbereen,IE,51.55,-9.2667,60.6,92,54,10.74,broken clouds
343,San Vicente,AR,-26.6167,-54.1333,79.75,32,4,3.15,clear sky
344,Rockland,US,41.1668,-74.0496,84.56,67,89,4.09,overcast clouds
345,Bryan,US,30.6744,-96.37,96.69,55,40,9.22,scattered clouds
346,Darhan,MN,49.4867,105.9228,54.01,78,4,2.26,clear sky
347,Bowling Green,US,36.9903,-86.4436,91.11,55,100,6.49,overcast clouds
348,Lagos,NG,6.5833,3.75,79.12,92,98,6.62,light rain
