City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
488,Dunedin,NZ,37.78,overcast clouds,-45.8742,170.5036,Scenic Hotel Southern Cross
489,Leningradskiy,RU,39.74,scattered clouds,69.3833,178.4167,Gostinitsa
490,Metro,ID,74.68,broken clouds,-5.1131,105.3067,OYO 3177 Wisma Lintang
491,Jaguarao,BR,76.77,overcast clouds,-32.5661,-53.3758,Hotel Rio's
492,Kruisfontein,ZA,55.89,overcast clouds,-34.0033,24.7314,Oyster Bay House Rental
493,Mezen,RU,53.51,overcast clouds,65.8522,44.24,Gostevoy Dom Everest
494,Horta,PT,74.84,broken clouds,38.5333,-28.6333,Hotel do Canal | Horta - Faial
495,Nybro,SE,64.04,few clouds,56.7446,15.9071,Stora Hotellet I Nybro
496,Margate,GB,63.91,clear sky,51.3813,1.3862,Premier Inn Margate hotel
500,Rio Cuarto,AR,42.57,drizzle,-33.1307,-64.3499,Grand Hotel Río Cuarto
501,Rakitnoye,RU,73.65,broken clouds,50.8389,35.8515,Zateryannyy Ray
503,Novyy Urengoy,RU,60.48,clear sky,66.0833,76.6333,Apartments Moy Dom na Gubkina
504,Riohacha,CO,86.72,overcast clouds,11.5444,-72.9072,Hotel Taroa
505,Anloga,GH,77.22,overcast clouds,5.7947,0.8973,Pin Drop Hotel
506,Boguchany,RU,58.39,overcast clouds,58.3814,97.4531,Uyut
507,Oistins,BB,87.89,few clouds,13.0667,-59.5333,Butterfly Beach Hotel
509,Solnechnyy,RU,48.92,overcast clouds,50.7214,136.6319,Hotel complex Pastoral
510,Dudinka,RU,56.07,clear sky,69.4058,86.1778,Hotel Viktoria
512,Wenzhou,CN,78.33,overcast clouds,27.9994,120.6668,温州喜来登酒店
513,Macia,MZ,61.16,clear sky,-25.0269,33.0989,Hotel Taskin Macia
514,Morrope,PE,81.79,clear sky,-6.5417,-80.0111,Hipolito santamaria
515,Picos,BR,91.81,clear sky,-7.0769,-41.4669,Entre Rios Hotel
516,Havelock,US,86.99,clear sky,34.8791,-76.9013,Sherwood Motel
518,Pando,UY,51.89,overcast clouds,-34.7167,-55.95,viviendas mvotma
519,Baghdad,IQ,94.91,clear sky,33.3406,44.4009,Baghdad Hotel
520,Talcahuano,CL,55.08,clear sky,-36.7167,-73.1167,departamento comodo
522,Mendi,PG,54.32,overcast clouds,-6.1761,143.6513,Kiburu Lodge
523,Bogashevo,RU,58.98,few clouds,56.3683,85.1447,Отель Skyline Томск аэропорт
524,Namtsy,RU,51.91,scattered clouds,62.7161,129.6658,"""Эңсиэли Киин"""
525,Ahuimanu,US,82.85,broken clouds,21.4447,-157.8378,Paradise Bay Resort
526,Bud,US,89.2,broken clouds,39.447,-86.1758,Ted McQuinn Trust
527,Cafarnaum,BR,73.24,scattered clouds,-11.6936,-41.4683,Pousada avenida
529,Bad Freienwalde,DE,69.33,scattered clouds,52.7873,14.0304,Ferienwohnung Weinberg Bad Freienwalde
530,Guarapari,BR,73.29,clear sky,-20.6667,-40.4975,Hotel Porto do Sol
531,Marawi,PH,66.65,overcast clouds,7.9986,124.2928,Derogongan Residence
532,Grand Gaube,MU,69.39,light rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
533,Norsup,VU,75.9,moderate rain,-16.0667,167.3833,Nabelchel Bungalows
534,Huanren,CN,64.42,clear sky,41.2647,125.3667,Dynasty Wunvshan Ice Chateau
535,Viedma,AR,51.53,broken clouds,-40.8135,-62.9967,Hotel Cristal
536,Kumluca,TR,84.92,clear sky,36.3703,30.2869,TurkuazKöy
537,Seevetal,DE,63.97,overcast clouds,53.4,9.9667,G&H Hotel Rosengarten (WOX-Hotel)
